TieuDe,GiaVND,DienTich,Phuong,Quan,DiaChi,Link,ListingID
"cho thuê căn hộ sky garden phú mỹ hưng 2 - 3pn, full nội thất, giá chỉ từ 11 triệu, miễn phí gửi xe",11000000.0,71.0,tân phong,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-pham-van-nghi-phuong-tan-phong-9-prj-sky-garden-3/c-phu-my-hung-2-3pn-full-noi-that-gia-chi-tu-11-trieu-mien-phi-gui-xe-pr43899663,43899663
cho thuê căn hộ 2pn nội thất cao cấp sunshine sky city,18000000.0,84.0,tân phú,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-phu-thuan-phuong-tan-phu-19-prj-sunshine-sky-city/c-2pn-noi-that-cao-cap-city-pr43899507,43899507
"cho thuê căn hộ luxcity quận 7 2 - 3pn, giá từ 11tr/tháng, full tiện ích!",11000000.0,73.0,bình thuận,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-huynh-tan-phat-phuong-binh-thuan-3-prj-can-ho-luxcity/c-quan-7-2-3pn-gia-tu-12tr-thang-full-tien-ich-pr42013600,42013600
"giỏ hàng cho thuê sunshine diamond - view đẹp - ban công rộng, giá từ 13 triệu/tháng lh0797 766 ***",13000000.0,116.0,phú thuận,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-dao-tri-phuong-phu-thuan-3-prj-sunshine-diamond-river/anh-chi-dang-tim-gia-tot-lien-ke-pmh-tai-quan-7-pr40351415,40351415
"cho thuê nhà chung cư q7 saigon riverside đào trí phường phú thuận quận 7, căn 2pn giá 13tr/tháng",13000000.0,68.0,phú thuận,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-dao-tri-phuong-phu-thuan-3-prj-q7-saigon-riverside/cho-nha-quan-7-2pn-gia-13tr-thang-pr43813314,43813314
chính chủ cho thuê căn hộ 2 phòng ngủ 85m2 - gần bệnh viện- siêu thị- chợ- miễn tiếp môi giới,10000000.0,85.0,phú thuận,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-hoang-quoc-viet-phuong-phu-thuan-3-prj-tulip-tower/c-2-png-ngu-85m2-gan-benh-vien-sieu-thi-c-pr43894890,43894890
"11,5tr giá tốt nhất thị trường sunshine sky city quận 7, 2pn, 2wc, 74m2",11500000.0,74.0,tân phú,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-phu-thuan-phuong-tan-phu-19-prj-sunshine-sky-city/11-5tr-gia-tot-nhat-thi-truong-quan-7-2pn-2wc-74m2-pr42684268,42684268
cho thuê midtown m5 - 135m2 - 50tr/th- 1/9 nhà trống - view sông - lh0946 288 ***,50000000.0,135.0,tân phú,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-phuong-tan-phu-19-prj-midtown-phu-my-hung/cho-m5-135m2-50tr-th-1-9-nha-trong-view-song-lh-pr43914389,43914389
cho thuê căn hộ midtown m6 - 90m2 - 2pn - 34tr/th - view biệt thự - full nt cao cấp - lh0946 288 ***,34000000.0,90.0,tân phú,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-phuong-tan-phu-19-prj-midtown-phu-my-hung/c-m6-90m2-2pn-34tr-th-view-biet-thu-full-nt-cao-cap-lh-pr43914349,43914349
cho thuê midtown m8 - 80m2 - view đông bắc - nội thất cao cấp - lh0946 288 ***,38000000.0,80.0,tân phú,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-phuong-tan-phu-19-prj-midtown-phu-my-hung/cho-m8-80m2-view-dong-bac-noi-that-cao-cap-lh-pr43914334,43914334
"cho thuê ch studio full nội thất florita 9,5 triệu/tháng. lh0921 055 ***",9500000.0,36.0,tân hưng,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-d1-phuong-tan-hung-14-prj-can-ho-florita/c-ch-q7-2pn-rem-may-lanh-may-nuoc-nong-gia-9-5tr-thang-lh-093-100-3368-giang-pr27209440,27209440
cho thuê căn hộ q7 riverside 3pn2wc - ntcb - giá cực rẻ chỉ 12tr/tháng liên hệ e văn0349 340 ***,12000000.0,85.0,phú thuận,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-dao-tri-phuong-phu-thuan-3-prj-q7-saigon-riverside/c-river-side-3pn2wc-ntcb-gia-cuc-re-chi-12tr-thang-lien-he-e-van-pr43884168,43884168
"giỏ hàng thuê cực hót tại chung cư q7 river side 1pn-2pn-3pn giá chỉ 8,5tr/tháng liên hệ e văn",8500000.0,55.0,phú thuận,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-dao-tri-phuong-phu-thuan-3-prj-q7-saigon-riverside/gio-hang-gia-re-nhat-hien-nay-tai-river-side-1pn-2pn-3pn-gia-chi-8-5tr-thang-lien-he-e-van-pr42712335,42712335
"cho thuê cc q7 boulevard, 2pn 2wc căn góc 70m2 nội thất cơ bản giá chỉ 10,5 triệu",10500000.0,70.0,phú mỹ,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-luong-bang-1-phuong-phu-my-9-prj-q7-boulevard/cho-cc-2pn2wc-goc-70m2-noi-that-co-ban-gia-chi-10-5-trieu-pr43827087,43827087
hệ thống cho thuê căn hộ full nt new 100% gần rmit_pmh_secc_kcx-hỗ trợ tìm phòng miễn phí ở quận 7,6000000.0,35.0,tân phong,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-phuong-tan-phong-9-prj-phu-my-hung/he-tng-c-full-nt-new100-gan-rmit-pmh-secc-kcx-tro-tim-png-mien-phi-o-quan-7-pr43507715,43507715
cập nhất giá thuê tốt nhất căn hộ q7 boulevard,8500000.0,57.0,phú mỹ,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-luong-bang-1-phuong-phu-my-9-prj-q7-boulevard/cap-nhat-gia-tot-nhat-boulevard-pr43672894,43672894
"cho thuê cc ehome 5, dt 54m 1pn 1wwc giá 9triệu lh0937 961 ***thảo",9000000.0,54.0,tân thuận đông,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-tran-trong-cung-phuong-tan-thuan-dong-1-prj-ehome-5-the-bridgeview/cho-cc-5-dt-54m-1pn-1wwc-gia-9trieu-lh-thao-pr43914070,43914070
"cho thuê chcc viva 1pn rèm, máy lạnh, bếp - 8tr -0941 261 ***",8000000.0,48.0,phú mỹ,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-luong-bang-1-phuong-phu-my-9-prj-viva-plaza/cho-chcc-1pn-ntcb-8tr-pr43820088,43820088
"cần cho thuê sunrise cityview full nội thất phòng ngủ riêng ở liền ngay, tầng cao",11000000.0,38.0,tân hưng,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-huu-tho-phuong-tan-hung-14-prj-sunrise-city-view/-cho-cityview-full-noi-that-phong-ngu-rieng-o-lien-ngay-tang-cao-pr43832699,43832699
sunrise cityview 3pn 2wc full nội thất cần cho thuê tầng cao view đẹp,26000000.0,104.0,tân hưng,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-huu-tho-phuong-tan-hung-14-prj-sunrise-city-view/-city-3pn-2wc-cho-nha-dep-tang-cao-sin-hl-pr42104672,42104672
"căn hộ 3 phòng ngủ diện tích 161 căn góc, giá 14 tr tháng nhà đầy đủ nội thất: lh0909 770 ***",14000000.0,161.0,phú mỹ,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-phuong-phu-my-9-prj-the-era-town/-3-png-ngu-dau-du-noi-that-goc-vieew-song-tang-mat-gia-11-tr-thang-lh-pr42199951,42199951
"căn hộ 97 m2 có 3 pn, nhà đẹp, rèm. quạt trần .sàn gỗ giá 9tr5 tháng: lh0909 770 ***",9500000.0,97.0,phú mỹ,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-phuong-phu-my-9-prj-the-era-town/-97-m2-co-3-pn-nha-dep-rem-quat-tran-san-go-gia-9tr5-thang-lh-pr43904808,43904808
"cho thuê căn hộ 2pn 122m2, giá tốt 17tr/th miễn phí quản lí, vô cùng rộng rãi",17000000.0,122.0,phú thuận,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-dao-tri-phuong-phu-thuan-3-prj-sunshine-diamond-river/c-2pn2wc-123m2-vo-cung-rong-rai-gia-tot-16tr-pr42205509,42205509
"cho thuê ch tầng cao, siêu rộng 2pn 2wc, 110m2, giá tốt nhất 14tr, đặc biệt miễn phí quản lí",14000000.0,110.0,phú thuận,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-dao-tri-phuong-phu-thuan-3-prj-sunshine-diamond-river/c-sieu-rong-rai-2pn2wc-110m2-gia-tot-nhat-13tr-pr42209999,42209999
"cho thuê the golden star 66m2, 2pn, 2wc full nt chỉ 12,5tr",13000000.0,66.0,bình thuận,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-thi-thap-phuong-binh-thuan-3-prj-the-golden-star/cho-66m2-2pn-2wc-full-nt-chi-12-5tr-pr43528560,43528560
"đức đức khải quận 7. cần cho thuê căn hộ 97m2, thiết kế 3pn 2wc nội thất giá 10tr. nhà sạch đẹp",10000000.0,97.0,phú mỹ,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-pham-huu-lau-phuong-phu-my-9-prj-the-era-town/duc-khai-quan-7-c-67m2-thiet-ke-2pn-2wc-day-du-noi-that-gia-8tr-view-song-pr41668089,41668089
"độc quyền nhiều căn cho thuê sunshine city, q7, 2pn, 2wc giá tốt nhất thị trường, 12tr",12000000.0,70.0,tân phú,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-phu-thuan-phuong-tan-phu-19-prj-sunshine-sky-city/doc-quyen-nhieu-cho-q7-2pn-2wc-gia-tot-nhat-thi-truong-11-5tr-pr42643201,42643201
"cập nhật giá thuê căn hộ florita t8/2025. 1pn 10tr, 2pn 13tr, 3pn 17tr. lh0921 055 ***giang",13000000.0,70.0,tân hưng,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-phuong-tan-hung-14-prj-can-ho-florita/-chu-y-e-giang-0931-00-3368-cap-nhat-c-lai-q7-pr36842012,36842012
"chuyên cho thuê và bán lavida plus,q.7",8000000.0,37.0,tân phong,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-van-linh-phuong-tan-phong-9-prj-lavida-plus/chuyen-cho-va-ban-q-7-pr43529247,43529247
cho thuê chung cư sunrise city giá tốt nhất thị trường 1pn - 4pn,15500000.0,76.0,tân hưng,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-huu-tho-phuong-tan-hung-14-prj-sunrise-city/cho-gia-tot-nhat-thi-truong-1pn-4pn-pr38355767,38355767
"hot, cho thuê 2 phòng ngủ full nội thất 52m2 giá chỉ 14 triệu/ tháng, vào ở ngay",14000000.0,52.0,tân thuận tây,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-van-linh-phuong-tan-thuan-tay-1-prj-eco-green-sai-gon/hot-cho-2-phong-ngu-full-noi-that-52m2-gia-chi-14-trieu-thang-vao-o-ngay-pr43888711,43888711
ban quản lý sunshine diamond cho thuê căn hộ 2pn 116m2 giá 14tr view sông sài gòn,14000000.0,116.0,phú thuận,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-dao-tri-phuong-phu-thuan-3-prj-sunshine-diamond-river/c-gia-tot-ben-song-sai-gon-tai-422-quan-7-pr40917565,40917565
cho thuê penthouse riverside residence block e lầu 16,91000000.0,260.0,tân phú,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-luong-bang-1-phuong-tan-phu-19-prj-riverside-residence/cho-penthouse-block-e-lau-16-pr43706950,43706950
"cho thuê căn hộ viva dt 69m2, 2pn view đẹp nt mới đầy đủ giá 10tr/th, lh ngay0971 215 ***",10000000.0,69.0,phú mỹ,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-luong-bang-1-phuong-phu-my-9-prj-viva-plaza/c-dt-69m2-2pn-view-dep-nt-moi-day-du-gia-10tr-th-lh-ngay-pr43870540,43870540
độc quyền cho thuê the ascentia phú mỹ hưng quận 7 loại 3 pn view biệt thự - có sẵn 1 ô đậu xe hơi,38000000.0,110.0,tân phú,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-luong-bang-1-phuong-tan-phu-19-prj-the-ascentia-phu-my-hung/cho-quan-7-loai-3-pn-view-biet-thu-co-san-1-o-dau-xe-hoi-pr42958960,42958960
giá 9tr/th luxgarden quận 7 - 2pn*2wc 69m2 - gần full nội thất,9000000.0,69.0,phú thuận,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-van-quy-phuong-phu-thuan-3-prj-luxgarden/-gia-8tr-quan-7-2pn-2wc-74m-goc-gio-rat-mat-pr43865017,43865017
"q7 riverside chọn lọc 100 căn: có máy lạnh 1pn 8tr, 2pn 9tr, 3pn 15tr (full đẹp +1-2tr)0706 679 ***",9000000.0,68.0,phú thuận,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-dao-tri-phuong-phu-thuan-3-prj-q7-saigon-riverside/gio-hang-ch-1pn-5tr-52m2-2pn-7tr-63m2-3pn-10tr-71m2-cuc-ki-dep-lh-0931230064-pr34822133,34822133
tổng hợp sky garden 3 cho thuê chỉ 14tr sở hữu ngay căn hộ 3pn. em có nhận tìm căn hộ theo nhu cầu,14000000.0,89.0,tân phong,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-pham-van-nghi-phuong-tan-phong-9-prj-sky-garden-3/tong-p-skygarden-123-c-chi-13tr-so-huu-ngay-3pn-em-co-nhan-tim-theo-nhu-cau-pr41034668,41034668
"quản lý cho thuê 100% căn hộ hoàng anh thanh bình, quận 7, giá thuê 10-11-12tr/th, hoàng0909 107 ***",11000000.0,73.0,tân hưng,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-17-4-phuong-tan-hung-14-prj-hoang-anh-thanh-binh/quan-ly-c-100-ang-th-quan-7-gia-chi-tu-8tr-thang-0909107705-pr32416657,32416657
"cần cho thuê ngắn hạn - dài hạn căn hộ 3pn tại cc riverpark 1 - đường nguyễn đức cảnh, quận 7",42000000.0,147.0,tân phong,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-duc-canh-phuong-tan-phong-9-prj-riverpark-residence/-c-ngan-han-dai-han-03pn-tai-cc-riverpar-1-h-quan-7-pr43855897,43855897
cho thuê căn hộ urban hill - phú mỹ hưng quận 7 - 2pn-2wc giá chỉ 20 triệu/tháng giá tốt,20000000.0,78.0,tân phong,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-van-linh-phuong-tan-phong-9-prj-urban-hill/c-phu-my-hung-quan-7-2pn-2wc-gia-chi-20-trieu-thang-gia-tot-pr43853388,43853388
"cho thuê căn hộ happy valley phú mỹ hưng, quận 7 - 2 phòng ngủ, full nội thất giá tốt",25000000.0,100.0,tân phong,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-van-linh-phuong-tan-phong-9-prj-happy-valley/c-phu-my-hung-quan-7-2-png-ngu-full-noi-that-gia-tot-pr43853271,43853271
"cho thuê căn hộ the peak, 60 triệu, 126m2, 3pn, 2wc, view đẹp, nhận nhà ở ngay lh:0938 880 ***nam",60000000.0,126.0,tân phú,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-phuong-tan-phu-19-prj-the-peak/c-60-trieu-126m2-3pn-2wc-view-dep-nhan-nha-o-ngay-lh-nam-pr43847178,43847178
"cho thuê căn hộ q7 riverside, 1pn+1 chỉ từ 8 triệu/th 2pn giá 9tr/th, lh:0907 891 ***xem nhà",8000000.0,52.0,phú thuận,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-dao-tri-phuong-phu-thuan-3-prj-q7-saigon-riverside/c-1pn-1-chi-tu-6-5-trieu-th-full-nt-8tr-th-lh-xem-nha-pr38020466,38020466
chính chủ cho thuê căn 2 phòng ngủ 2 nhà vệ sinh dọn vào ở liền,16000000.0,76.0,tân hưng,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-huu-tho-phuong-tan-hung-14-prj-sunrise-city/chinh-chu-cho-2-phong-ngu-2-nha-ve-sinh-don-vao-o-lien-pr36824727,36824727
cho thuê căn hộ eco green quận 7 | 1pn 2pn 3pn| 52m2 - 95m2 giá từ 12 triệu - 20 triệu,15500000.0,65.0,tân thuận tây,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-van-linh-phuong-tan-thuan-tay-1-prj-eco-green-sai-gon/c-quan-7-52m2-95m2-gia-tu-13-trieu-21-trieu-xem-nha-ngay-duoc-pr43259333,43259333
"cho thuê căn hộ chung cư sunrise city, sunrise city view q7 giá 11tr - 15tr studio, 1pn, 2pn, 3pn",15000000.0,76.0,·tân hưng,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-huu-tho-phuong-tan-hung-14-prj-sunrise-city-view/c-q7-gia-11tr-15tr-studio-1pn-2pn-3pn-pr36326627,36326627
full giỏ hàng cho thuê căn hộ giá rẻ eco green quận 7 - 2pn ntcb 13.5tr. pkd0899 121 ***,14000000.0,70.0,·tân thuận tây,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-van-linh-phuong-tan-thuan-tay-1-prj-eco-green-sai-gon/chuyen-quan-ly-c-sg-q7-2pn-70m2-gia-12tr-th-xem-nha-24-7-lh-0899121989-pr35670559,35670559
giỏ hàng cho thuê t08-09-10/2025 nhiều căn hộ tại sunrise city. 1-2-3-4pn full nội thất.0383 422 ***,16000000.0,106.0,·tân hưng,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-huu-tho-phuong-tan-hung-14-prj-sunrise-city/chuyen-c-quan-li-nhieu-1pn-13tr-2pn-18tr-3-4pn-23-30tr-pr34431823,34431823
"giỏ hàng cho thuê q7 riverside 2pn 9tr ntcb, full 11tr, 1pn 8.5tr, view đẹp. lh:0911 850 ***",8500000.0,53.0,·phú thuận,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-dao-tri-phuong-phu-thuan-3-prj-q7-saigon-riverside/-1pn-chi-5tr-th-2pn-chi-7tr-th-3pn-10tr-shophouse-15tr-gia-that-100-0939720039-pr36569501,36569501
nắm nhiều key căn hộ sunrise city xem nhanh 24/7 (1pn 12tr - 2pn 16tr - 3pn 23tr),16000000.0,99.0,·tân hưng,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-huu-tho-phuong-tan-hung-14-prj-sunrise-city/nam-nhieu-key-xem-nhanh-24-7-1pn-13tr-2pn-16tr-3pn-23tr-pr42598730,42598730
"chuyên 100% giỏ hàng cho thuê sunrise city 1- 3,4pn giá tốt, 120m2, 3pn, 2wc giá từ 15 - 23tr",15000000.0,77.0,·tân hưng,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-huu-tho-phuong-tan-hung-14-prj-sunrise-city-view/chuyen-100-gio-hang-1-3pn-gia-tot-77m2-2pn-2wc-gia-tu-15-18tr-tho-pr39689569,39689569
"em trang - quản lý tất cả căn studio 9tr, 1pn (10 - 13tr), 2pn(16tr), 3pn(20tr) sunrise city",10000000.0,50.0,tân hưng,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-huu-tho-phuong-tan-hung-14-prj-sunrise-city/em-trang-quan-ly-tat-ca-studio-9tr-1pn-11-13tr-2pn-16tr-3pn-20tr-view-pr43718705,43718705
chuyên cho thuê căn hộ q7 riverside giá rẻ nhất thị trường hỗ trợ xem nhà 24/7 lh0918 765 ***,9000000.0,67.0,phú thuận,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-dao-tri-phuong-phu-thuan-3-prj-q7-saigon-riverside/chuyen-c-gia-re-nhat-thi-truong-tro-xem-nha-24-7-lh-091876968-pr40164693,40164693
"xem liền nhiều căn q7 riverside 1pn 8tr ntcb, full nt 10tr// 2pn 9tr ntcb và full 11tr0931 866 ***",8000000.0,53.0,phú thuận,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-dao-tri-phuong-phu-thuan-3-prj-q7-saigon-riverside/chu-cho-nhieu-ch-1pn-tu-5tr-th-2pn-tu-6tr-th-gia-that-100-thap-hon-tang-1th-pr35222486,35222486
"chuyên tìm nhà theo yêu cầu ecogreen, giá tốt nhất thị trường ,2pn,2wc , chỉ 15tr",15000000.0,67.0,tân thuận tây,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-van-linh-phuong-tan-thuan-tay-1-prj-eco-green-sai-gon/chuyen-tim-nha-theo-yeu-cau-ecogreen-gia-tot-nhat-thi-truong-2pn-2wc-chi-15tr-pr43784861,43784861
"quản lý cho thuê sunshine diamond river 2pn 116m2 giá 13tr/th, lh0938 542 ***bds cường phát",13000000.0,116.0,phú thuận,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-dao-tri-phuong-phu-thuan-3-prj-sunshine-diamond-river/cho-3pn-168m-gia-22tr-tl-lh-bds-cuong-phat-pr39189121,39189121
"cho thuê căn hộ lavida plus quận 7 | 2pn, 74m², full nội thất cao cấp, mới 100% 20 triệu/tháng",20000000.0,74.0,tân phong,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-van-linh-phuong-tan-phong-9-prj-lavida-plus/c-quan-7-2pn-74m-full-noi-that-cao-cap-moi-100-17-5-trieu-thang-pr43878979,43878979
"quản lý tất cả căn studio, 1pn, 2pn, 3pn sunrise city view giá chỉ từ 10tr full nội thất-0935 006 ***",10000000.0,50.0,tân hưng,quận 7,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-huu-tho-phuong-tan-hung-14-prj-sunrise-city-view/quan-ly-tat-ca-studio-1pn-2pn-3pn-gia-chi-tu-10tr-full-noi-that-pr43749221,43749221
